(36, 2, 27, 14, 1520);ר;ש;ע;ה;א;מ;ס;מ;כ;מ;י;ש;נ;א;ד;ח;א;ו;ם;י;(36, 2, 26, 21, 1501)
(36, 2, 28, 13, 1540);י;ע;ה;ו;ל;א;ת;י;ב;י;ש;נ;א;ם;י;נ;ש;ו;ם;י;(36, 2, 27, 15, 1521)
(36, 2, 29, 5, 1560);ב;נ;י;נ;ב;ה;ש;ל;ש;ו;ם;י;ר;ש;ע;ם;י;ת;א;מ;(36, 2, 28, 14, 1541)
(36, 2, 30, 9, 1580);מ;ש;י;ב;ג;מ;י;נ;ב;ם;י;נ;ש;ו;ם;י;ש;מ;ח;ו;(36, 2, 29, 6, 1561)
(36, 2, 31, 9, 1600);ח;א;ם;ל;י;ע;י;נ;ב;ה;ש;ש;ו;ם;י;ש;מ;ח;ה;א;(36, 2, 30, 10, 1581)
(36, 2, 31, 29, 1620);ה;ע;ב;ר;א;ו;ם;י;ש;מ;ח;ם;י;ת;א;מ;ף;ל;א;ר;(36, 2, 31, 10, 1601)
(36, 2, 33, 1, 1640);ב;ם;י;ר;ש;ע;ו;ת;ו;א;מ;ש;ל;ש;ם;ר;ח;י;נ;ב;(36, 2, 32, 1, 1621)
(36, 2, 33, 21, 1660);ת;ו;א;מ;ע;ב;ש;ו;נ;ו;א;ו;ד;י;ד;ח;ד;ל;י;נ;(36, 2, 33, 2, 1641)
(36, 2, 34, 10, 1680);ש;ל;ש;ו;ח;ר;י;י;נ;ב;ה;ש;מ;ח;ו;ם;י;ר;ש;ע;(36, 2, 33, 22, 1661)
(36, 2, 35, 5, 1700);נ;ס;י;נ;ב;ה;ש;מ;ח;ו;ם;י;ע;ב;ר;א;ת;ו;א;מ;(36, 2, 34, 11, 1681)
(36, 2, 35, 25, 1720);ש;ו;ת;ו;א;מ;ש;ש;ו;ם;י;פ;ל;א;ת;ש;ל;ש;ה;א;(36, 2, 35, 6, 1701)
(36, 2, 36, 16, 1740);ב;ל;ה;י;ע;ד;י;י;נ;ב;ם;י;נ;ה;כ;ה;ם;י;ש;ל;(36, 2, 35, 26, 1721)
(36, 2, 36, 36, 1760);ש;ו;ם;י;ע;ב;ש;ת;ו;א;מ;ע;ש;ת;ע;ו;ש;י;ת;י;(36, 2, 36, 17, 1741)
(36, 2, 37, 17, 1780);נ;ש;ו;ם;י;ש;מ;ח;ף;ל;א;ר;מ;א;י;נ;ב;ה;ש;ל;(36, 2, 36, 37, 1761)
(36, 2, 38, 18, 1800);ר;א;ם;י;ת;א;מ;ף;ל;א;ר;ו;ח;ש;פ;י;נ;ב;ם;י;(36, 2, 37, 18, 1781)
(36, 2, 39, 11, 1820);ש;ו;ף;ל;א;ם;ר;ח;י;נ;ב;ה;ע;ב;ש;ו;ם;י;ע;ב;(36, 2, 38, 19, 1801)
(36, 2, 40, 14, 1840);ק;ו;ע;ו;ש;י;י;נ;ב;ם;י;ו;ל;ה;ר;ש;ע;ה;ע;ב;(36, 2, 39, 12, 1821)
(36, 2, 40, 34, 1860);ם;י;ע;ב;ש;ה;י;ו;ד;ו;ה;י;נ;ב;ל;ל;א;י;מ;ד;(36, 2, 40, 15, 1841)
(36, 2, 41, 14, 1880);מ;ף;ס;א;י;נ;ב;ם;י;ר;ר;ש;מ;ה;ה;ע;ב;ר;א;ו;(36, 2, 40, 35, 1861)
(36, 2, 42, 8, 1900);י;ר;ע;ש;ה;י;נ;ב;ה;נ;מ;ש;ו;ם;י;ר;ש;ע;ה;א;(36, 2, 41, 15, 1881)
(36, 2, 42, 28, 1920);מ;ל;ט;י;נ;ב;ר;ט;א;י;נ;ב;ם;ו;ל;ש;י;נ;ב;ם;(36, 2, 42, 9, 1901)
(36, 2, 42, 48, 1940);ש;י;נ;ב;א;ט;י;ט;ח;י;נ;ב;ב;ו;ק;ע;י;נ;ב;ן;(36, 2, 42, 29, 1921)
(36, 2, 43, 2, 1960);נ;ה;ה;ע;ש;ת;ו;ם;י;ש;ל;ש;ה;א;מ;ל;כ;ה;י;ב;(36, 2, 42, 49, 1941)
